symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
BRF2,-0.2069488271496361,6.187804215546671,-4.9734781426358605,7.078357619809039e-7,0.0043543320141572715,5.541261185670191
ZNF623,-0.15831818784565888,4.347756650154165,-4.908143053788488,9.860353292928605e-7,0.0043543320141572715,5.242651722896637
OSR2,-0.24839360633189841,5.651447636219166,-4.767257378917607,1.9880565828845018e-6,0.005852838580011973,4.611881769538671
UBE2V2,-0.18042990401830078,8.179393341393085,-4.628655838218204,3.891977160934951e-6,0.008380647956629864,4.008883352360327
DARS2,-0.17012960817513204,4.901403234044343,-4.569147819342971,5.16460503396958e-6,0.008380647956629864,3.755336106856891
FAM49B,-0.17375858772462513,7.643275300104448,-4.548482105601618,5.693374970536592e-6,0.008380647956629864,3.668037501886685
KIT,0.316308988627435,5.717581176675633,4.437137896263408,9.5603096257451055e-06,0.01091618027178606,3.2043633163890224
SLC35E3,-0.12780451979362253,7.037714063122433,-4.429814329699896,9.887844449081575e-6,0.01091618027178606,3.1742607277183605
PNRC1,0.15054863618004924,7.206731554580502,4.379889180578551,1.242376945192461e-5,0.01137279906159192,2.9703502941025572
HSF1,-0.13759371095336603,4.525664086198117,-4.357292852926459,1.3765679733933878e-5,0.01137279906159192,2.8788055081728015
CDKN3,-0.2400620341383358,5.070179172399204,-4.321118527974256,1.6206057786536837e-5,0.01137279906159192,2.733220160597231
LRP12,-0.15576735914857082,3.5690776750312705,-4.318535360024863,1.639526845248073e-5,0.01137279906159192,2.7228696780157957
RAD54B,-0.19081210411270824,4.952890851350877,-4.31390316613245,1.6739853691201877e-5,0.01137279906159192,2.704324190761973
GABRQ,-0.07091970226477096,3.232941909872108,-4.2828389173196095,1.92355471116292e-5,0.011774231993927216,2.580460394638626
AURKA,-0.26436862875604283,5.619988815165356,-4.264698753204982,2.0852931289255737e-5,0.011774231993927216,2.5085361476474723
ZNF696,-0.10098242506537285,3.953774101358154,-4.259602498917268,2.1330130423781188e-5,0.011774231993927216,2.4883839040443867
OPLAH,-0.18032102380159637,4.8905594920688,-4.213787953128386,2.6113119302378935e-5,0.013469783903967282,2.308281887713475
C7orf10,-0.15129292953890564,4.5580625884125805,-4.177488754366601,3.061055492532843e-5,0.013469783903967282,2.1669453676028034
CTSO,0.16401903818438895,7.683508550982228,4.157328603252756,3.341714721571683e-5,0.013469783903967282,2.0889681276943186
CCNE2,-0.23127022364014188,4.939787984690007,-4.152390978937996,3.414092463389751e-5,0.013469783903967282,2.0699265060214724
CCDC22,0.12850673750508243,5.682266280407084,4.15032529262071,3.4448120703792216e-5,0.013469783903967282,2.0619669272838372
ABCC5,-0.23910334556052723,5.4388364317632325,-4.13979401463555,3.605553651111847e-5,0.013469783903967282,2.0214479821978815
LSM1,-0.15855245282459693,8.341027297459291,-4.128641112321792,3.783541688039528e-5,0.013469783903967282,1.9786477637199233
DHODH,-0.06700326294954263,3.239392964192079,-4.126643224021214,3.8162947312275666e-5,0.013469783903967282,1.970992693088455
TCEB1,-0.14329388863249515,8.146088747812609,-4.122144618869315,3.891032819369676e-5,0.013469783903967282,1.9537692690602784
RPL5,0.16091970823032933,10.50176704865451,4.1109680651781,4.0827792608379145e-5,0.013469783903967282,1.9110585627476473
CXCL2,0.2804940002947061,4.6416633388901705,4.108980709245528,4.1178007858595635e-5,0.013469783903967282,1.903475917924312
UTRN,0.129155911040729,4.311610364955587,4.077532892063724,4.711403897585417e-5,0.014525989006990132,1.7839688348713238
MRPL13,-0.2119869314623695,7.435225712785611,-4.0746538364484906,4.769629542603191e-5,0.014525989006990132,1.773073081446701
RAD9A,-0.11504835499411092,4.593907142629706,-4.0376008632016935,5.582605144406317e-5,0.016435189545132196,1.633522669721807
KLC2,-0.10489245900702591,5.306663728534229,-3.9890703360319923,6.847335291495589e-5,0.018724397475634435,1.4526437000382941
ATF1,-0.14648401786262533,6.400048204729595,-3.988304643165393,6.869311102347828e-5,0.018724397475634435,1.4498071335162486
EIF4ENIF1,0.11613819194993205,6.179761582505533,3.9839280730740394,6.996208295923192e-5,0.018724397475634435,1.4336040956746396
SLC8A1,0.08491858011596112,3.7524850550963444,3.973855672953898,7.296736655608439e-5,0.018954346512451096,1.3963803948029563
PDLIM1,0.20119289949605487,8.895241889685007,3.9510394444196004,8.023305590041876e-5,0.020168895776236172,1.3124037100675476
DDIT3,-0.1043192423523609,6.179265249962232,-3.9451692850044404,8.221017300096265e-5,0.020168895776236172,1.2908752347576922
ENO3,-0.1130369652214951,3.025466747855413,-3.9321116490150008,8.67745857941505e-5,0.020302385487664183,1.2431001980518346
MNAT1,-0.1092622873851206,4.779155220391634,-3.9304349665237273,8.737775113044921e-5,0.020302385487664183,1.2369768892577646
EGR2,0.14710441385345557,5.286587973818688,3.9242140048141345,8.965047939525624e-5,0.020302385487664183,1.214280184754469
RBM23,0.11745460456519377,7.243139086921422,3.9100231300683728,9.504576074888927e-5,0.020492941739654904,1.1626384442470794
JAK1,0.1531188391578887,8.120695785169419,3.9098011557167345,9.513254204323495e-5,0.020492941739654904,1.1618321261243834
ACSL5,0.14852749683944616,5.563104595985245,3.8736818546242375,1.1029537786206529e-4,0.023193542316137156,1.0312303415475848
KIF13B,0.19449310137569167,6.504712210787414,3.8628323420647273,1.1527820262292436e-4,0.02338312658135894,0.9922335406132206
CDK5RAP2,0.09475158433068022,5.4187189658597985,3.8539110707045294,1.1953384783108806e-4,0.02338312658135894,0.9602482729737263
FOXD1,-0.17519596255691797,2.9163709267080224,-3.851514609871369,1.2070202179050635e-4,0.02338312658135894,0.9516687102663148
ZNF254,0.08600009834441262,3.5740610522809817,3.8493081036877146,1.2178711761124448e-4,0.02338312658135894,0.9437738561137481
CHI3L2,0.2912454633948024,4.848018504789104,3.8374452684584743,1.2778040782607703e-4,0.023822812136657205,0.9014052246287623
LY75,0.21762980594824757,6.163967461731008,3.8341923348265516,1.294718050905283e-4,0.023822812136657205,0.8898097575232073
HLA-DMA,0.22153457772425725,7.536650322845606,3.8200692556223985,1.370630755507546e-4,0.024053390119172253,0.8395788087515497
NSMAF,-0.143344947978335,6.1264086647416605,-3.8156134885546993,1.3954387309219387e-4,0.024053390119172253,0.8237691063145123
NTRK2,0.3398773545221896,5.273991397127684,3.809953783653191,1.4275602015321228e-4,0.024053390119172253,0.8037138949231428
SESN1,0.14615591279355092,6.936698077544065,3.807252572868295,1.4431353037136388e-4,0.024053390119172253,0.7941524821365009
ATP5I,-0.1379155723053371,9.300644149724729,-3.8004388344036335,1.483137536040139e-4,0.024053390119172253,0.7700637641805468
SLC6A8,-0.17526481921953044,6.571763151818877,-3.8001859903731074,1.484641853665169e-4,0.024053390119172253,0.7691706995633414
INPP1,0.1467627546751332,5.690330450713914,3.795710675328714,1.511507201884778e-4,0.024053390119172253,0.7533732401721149
CCL4,0.19295598232977876,6.455094167682698,3.790862302695269,1.541128520483422e-4,0.024053390119172253,0.7362796409966856
SAP30BP,0.12387723148302456,6.220311848717634,3.788478141203781,1.5558943853117768e-4,0.024053390119172253,0.727881858433979
MYH7B,-0.039025614047493204,3.3473588298985817,-3.784695829573741,1.5795931011231777e-4,0.024053390119172253,0.7145700333983509
